v8-version,4,6,85,31,0
code-creation,Handler,3,0xe02c64249e0,120,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c6424a60,608,"MathPowStub"
code-creation,Stub,2,0xe02c6424cc0,1822,"RecordWriteStub"
code-creation,Stub,11,0xe02c64253e0,220,"BinaryOpICStub"
code-creation,Handler,3,0xe02c64254c0,112,"An IC handler from the snapshot"
code-creation,Handler,3,0xe02c6425540,272,"An IC handler from the snapshot"
code-creation,CallIC,8,0xe02c6425660,113,"A call IC from the snapshot"
code-creation,Stub,2,0xe02c64256e0,385,"CallApiGetterStub"
code-creation,Stub,11,0xe02c6425880,486,"BinaryOpICStub"
code-creation,Stub,2,0xe02c6425a80,366,"FastNewContextStub"
code-creation,Stub,2,0xe02c6425c00,188,"DoubleToIStub"
code-creation,Handler,3,0xe02c6425cc0,112,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c6425d40,292,"BinaryOpICStub"
code-creation,Stub,2,0xe02c6425e80,991,"NameDictionaryLookupStub"
code-creation,Stub,2,0xe02c6426260,1154,"FastNewContextStub"
code-creation,Handler,3,0xe02c6426700,120,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c6426780,232,"BinaryOpICStub"
code-creation,Stub,11,0xe02c6426880,232,"BinaryOpICStub"
code-creation,Stub,2,0xe02c6426980,482,"InternalArrayNArgumentsConstructorStub"
code-creation,Handler,3,0xe02c6426b80,120,"An IC handler from the snapshot"
code-creation,Handler,3,0xe02c6426c00,120,"An IC handler from the snapshot"
code-creation,Handler,3,0xe02c6426c80,272,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c6426da0,152,"BinaryOpICStub"
code-creation,Handler,3,0xe02c6426e40,272,"An IC handler from the snapshot"
code-creation,Stub,12,0xe02c6426f60,195,"CompareICStub"
code-creation,Stub,2,0xe02c6427040,766,"FastNewClosureStub"
code-creation,Stub,2,0xe02c6427340,2710,"RecordWriteStub"
code-creation,Stub,2,0xe02c6427de0,918,"FastNewContextStub"
code-creation,Stub,11,0xe02c6428180,152,"BinaryOpICStub"
code-creation,Stub,12,0xe02c6428220,628,"CompareICStub"
code-creation,Stub,11,0xe02c64284a0,284,"BinaryOpICStub"
code-creation,Handler,3,0xe02c64285c0,184,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c6428680,284,"BinaryOpICStub"
code-creation,Stub,11,0xe02c64287a0,458,"BinaryOpICStub"
code-creation,Stub,2,0xe02c6428980,199,"CallConstructStub"
code-creation,Stub,2,0xe02c6428a60,566,"InternalArraySingleArgumentConstructorStub"
code-creation,Handler,3,0xe02c6428ca0,244,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c6428da0,974,"StoreFastElementStub"
code-creation,Stub,11,0xe02c6429180,332,"BinaryOpICStub"
code-creation,Stub,2,0xe02c64292e0,206,"InternalArrayConstructorStub"
code-creation,Stub,2,0xe02c64293c0,446,"InternalArrayNoArgumentConstructorStub"
code-creation,Stub,11,0xe02c6429580,152,"BinaryOpICStub"
code-creation,Handler,3,0xe02c6429620,120,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c64296a0,212,"BinaryOpICStub"
code-creation,Stub,11,0xe02c6429780,486,"BinaryOpICStub"
code-creation,Stub,2,0xe02c6429980,203,"ToNumberStub"
code-creation,Stub,11,0xe02c6429a60,284,"BinaryOpICStub"
code-creation,Stub,11,0xe02c6429b80,434,"BinaryOpICStub"
code-creation,Handler,3,0xe02c6429d40,220,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c6429e20,284,"BinaryOpICStub"
code-creation,Stub,2,0xe02c6429f40,566,"ArrayNArgumentsConstructorStub"
code-creation,Stub,11,0xe02c642a180,111,"BinaryOpICWithAllocationSiteStub"
code-creation,Stub,11,0xe02c642a200,212,"BinaryOpICStub"
code-creation,Stub,11,0xe02c642a2e0,232,"BinaryOpICStub"
code-creation,Stub,2,0xe02c642a3e0,1831,"RecordWriteStub"
code-creation,Handler,3,0xe02c642ab20,220,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c642ac00,212,"BinaryOpICStub"
code-creation,Stub,2,0xe02c642ace0,746,"FastNewContextStub"
code-creation,Handler,3,0xe02c642afe0,120,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c642b060,248,"BinaryOpICStub"
code-creation,Stub,11,0xe02c642b160,220,"BinaryOpICStub"
code-creation,Stub,2,0xe02c642b240,372,"JSEntryStub"
code-creation,Stub,12,0xe02c642b3c0,222,"CompareICStub"
code-creation,Handler,3,0xe02c642b4a0,272,"An IC handler from the snapshot"
code-creation,Stub,2,0xe02c642b5c0,554,"ArrayNArgumentsConstructorStub"
code-creation,Stub,11,0xe02c642b800,434,"BinaryOpICStub"
code-creation,Stub,11,0xe02c642b9c0,212,"BinaryOpICStub"
code-creation,Stub,11,0xe02c642baa0,364,"BinaryOpICStub"
code-creation,Stub,11,0xe02c642bc20,212,"BinaryOpICStub"
code-creation,Stub,11,0xe02c642bd00,220,"BinaryOpICStub"
code-creation,Stub,2,0xe02c642bde0,1786,"RecordWriteStub"
code-creation,Handler,3,0xe02c642c4e0,160,"An IC handler from the snapshot"
code-creation,Stub,11,0xe02c642c580,434,"BinaryOpICStub"
code-creation,Stub,13,0xe02c642c740,200,"CompareNilICStub"
code-creation,Stub,11,0xe02c642c820,458,"BinaryOpICStub"
code-creation,Stub,2,0xe02c642ca00,945,"SubStringStub"
code-creation,Stub,11,0xe02c642cdc0,232,"BinaryOpICStub"
